E}GG|*t8}U	麗しい	うるわしい	美しくて心惹かれる様子	
q,wuoiOD[b	お供	おとも	一緒に行く人や動物	
lmb{`h;H8:	損ねる	そこねる	壊したり傷つけたりする	
clmh<6,@,6	古	いにしえ	遠い昔の時代のこと	
Mzr*5L-2q3	乏しい	とぼしい	数量が足りなくて少ない	
v5PL_b{KTx	現役	げんえき	今も第一線で活躍中	
v07E:7cLJr	宮廷	きゅうてい	王様や貴族のいる場所	
"A#K7]U|%!k"	蓄積	ちくせき	少しずつため込むこと	
I{fv,g:P>0	貧しい	まずしい	富や恵みが足りない状態	
"e#wd4DXQSD"	焦げる	こげる	火にあたりすぎて黒くなる	
l;JV`eQ0dK	委ねる	ゆだねる	全てを任せて預ける	
u0TykquLo1	目玉	めだま	顔にあって物を見る器官	
bK=Bb=Pz+O	私服	しふく	制服や作業着ではない服	
gLHU60S4Pr	を回って	をめぐって	あるテーマを中心に議論する	
"lC|#|#qjl3"	正真正銘	しょうしんしょうめい	偽りのない本物だという強調	
n~g&?y</l^	逝く	いく	この世から去っていくこと	
cU4S@69W9[	花弁	はなびら	花の一枚一枚の部分	
my5E[FoBbN	客観的	きゃっかんてき	個人の感情を交えずに見る	
H`S[+_J~^D	吉	きち	良い結果を表す運勢の種類	
IJ?{u78*~@	三階	さんがい	建物の上から二番目の階	
i0xzCS_%J:	絵を描く	えをかく	筆やペンで図や画を作る	
r)GT@WT02S	敢えて	あえて	難しいと分かっていてもやる	
to)[0*y3n5	創る	つくる	新しいものを初めて作り出す	
n=0>=m+gwy	毛皮	けがわ	動物の体毛がついた皮	
J1v+mG&q%$	建設	けんせつ	建物や施設を新しく造る	
vdXlsxR:>B	民衆	みんしゅう	国や地域に暮らす普通の人々	
CVUs^E>t**	三本	さんぼん	細長い物が三つあること	
L57b^u-1=f	長ける	たける	その分野に非常に優れている	
Q2M~q2{$6K	悲惨	ひさん	見ていられないほど酷い状態	
L4V,~2Dm>Z	懲りる	こりる	嫌な経験からもうこりごり	
M+sWYI!lQt	開閉	かいへい	出入口や蓋を開け閉めする	
Ku$bc9z+HP	書斎	しょさい	家の中で読書や勉強をする部屋	
"q#D;&&roc}"	某	ぼう	名前を伏せたい時に使う言葉	
ovIL>m+K`+	猶予	ゆうよ	期限を先延ばしにすること	
E:?86ccg[5	拝見	はいけん	相手のものを見せてもらう	
AIn!P4U6r`	洋服	ようふく	西洋風の普段着の総称	
r;z8z/T+N@	片っ端から	かたっぱしから	順番に関係なく次々と全て	
LlPe>T@ASh	人混み	ひとごみ	たくさんの人が密集する場所	
rVdFiOsKhz	大臣	だいじん	国務を司る最高位の役職	
A5g*GN?hp{	鈍感	どんかん	周りの変化や気持ちに気づかない	
k4do[UHgpl	謙遜	けんそん	自分の実績を控えめに言うこと	
s!b2K}($U,	偽装	ぎそう	本物ではないのに装うこと	
mqxl5=(^cg	給仕	きゅうじ	食事の席で料理や飲物を出す	
wRn3W{$cdr	採る	とる	必要なものを選んで手に入れる	
d2-ZvKu??U	雄叫び	おたけび	戦いや興奮の時にあげる大声	
"cf|/ZV8#(F"	粒子	りゅうし	物質を構成する細かい一つ一つ	
wg{dDJm7*C	喚く	わめく	感情的に大声を発する	
h,[hAJ[B5y	尚	なお	前に述べたことに付け加える	
ut<2OJKZNZ	失踪	しっそう	行方が全く分からなくなる	
xw!cw}/A0|	刀身	とうしん	刀から柄を除いた金属の部分	
gcj/Titbh8	原稿	げんこう	印刷や発表前の元になる文章	
"Q+3[)n#t~H"	沿い	ぞい	道や川などに寄り添った場所	
L9!t(-w]E)	弾き飛ばす	はじきとばす	勢いよく遠くへはじく	
y34f<)^@^G	州	しゅう	国の行政区分のひとつ	
G_~`s<qnZM	木製	もくせい	材料に木材を使っていること	
