M<mK|]yxAq	可笑しい	おかしい	違和感があって変だと思う	
bGIAC=fJmz	素朴	そぼく	飾り気がなく素直な様子	
kf0u+&U].A	嗅覚	きゅうかく	においを感じ取る能力	
Hx5O5q{_Df	引き金	ひきがね	ある出来事の発端となるもの	
"qnjP=S!6#q"	汚染	おせん	有害なもので汚れてしまう	
L:%g^gfwm_	診察	しんさつ	医者が患者の状態を調べる	
McJlOJ+rBn	憤怒	ふんぬ	激しい怒りの感情	
syYc7:(B_O	誠に	まことに	偽りなく心からそう思う	
GQW`p.91x4	束の間	つかのま	ほんの短い時間	
Po:5dGDnf*	醸し出す	かもしだす	ある雰囲気や味わいを生む	
JTWWNLq:;L	婿	むこ	結婚した女性の配偶者	
xdd.iu1iT`	石造り	いしづくり	石材を用いて造られた構造	
Fm0)zO@okC	矛先	ほこさき	攻撃や批判が向かう方向	
s(1A!r.u@M	身代わり	みがわり	代わりに犠牲になるもの	
D<:j|$Wy[l	姫君	ひめぎみ	身分の高い家の女性への敬称	
B+`<OVW9IO	漢字	かんじ	中国由来の表意文字	
HTfzi;]jY<	振舞う	ふるまう	その場に応じて行動する	
E*{$+*9/k~	稲妻	いなずま	雷と共に光る空の閃光	
MI_7]z]Bp7	覇気	はき	積極的にやる気があること	
D=I;|a&!B%	顕現	けんげん	隠れていたものが現れる	
pU=^6+_*Q&	籠る	こもる	外に出ず閉じこもる	
z|ND*D+fKn	畏怖	いふ	恐れ敬う気持ち	
"d~OH/%]#zs"	抱擁	ほうよう	愛情を込めて強く抱く	
lhF^MT[7T&	前触れ	まえぶれ	何かが起こる前の兆候	
RaGCa;>bz&	搭載	とうさい	機器や機能を積み込む	
ksflcL1_hn	白濁	はくだく	液体が白く濁っている	
wx3{avLD<5	墜落	ついらく	飛んでいるものが落ちる	
IN^+QsUUvI	顧問	こもん	専門知識で助言する立場	
b@sI_p~z|C	拉致	らち	無理やり連れて行く	
i9b~)29!tH	糾弾	きゅうだん	非を責めて問い詰める	
KUe1]IR<Er	壮絶	そうぜつ	凄まじく激しいさま	
AjO.Qn7aaZ	蒸発	じょうはつ	液体が気体になって消える	
OUwZ;)8F%j	妖しい	あやしい	不気味で不思議な魅力がある	
MY7CR!XDQ	旨	むね	考えや意図しているところ	
wS9F0n{2*)	鎌	かま	草や稲を刈る道具	
M_|b+qF>>y	彫刻	ちょうこく	素材を削って造形する芸術	
qM.q-(6q@L	目印	めじるし	場所を示すための標識	
J_)NWU.|M	妖艶	ようえん	怪しげで色っぽい様子	
KxPJy1G.R$	繁栄	はんえい	勢いが盛んで栄える	
muPn@_ZQ&/	入浴	にゅうよく	湯船に浸かって体を洗う	
"B]ki#Hg9!4"	負荷	ふか	機械や体にかかる重み	
KA<MZ7$I7@	身震い	みぶるい	怖さや寒さで体が震える	
x+H,<H14%w	部署	ぶしょ	組織内の担当区分	
Eef{HB@?-[	路	じ	人や車が通るための道	
xz8QyZux|n	落書き	らくがき	壁などに勝手に描く描画	
quc9p.b><>	金銭	きんせん	取引に使う価値の媒体	
:t}Di$d0b	真紅	しんく	鮮やかな濃い赤色	
"C&i#]>G+}:"	一色	いっしょく	全体が一種類の色だけ	
wFXtwW2<,I	亀	かめ	甲羅を持つ長寿の爬虫類	
Erq_N*ZPv,	宿泊	しゅくはく	旅先で夜を過ごす	
E$|dB@>mfa	辛抱	しんぼう	苦しいのを我慢して耐える	
vk}[$|P[Cw	浸透	しんとう	液が少しずつ染み込む	
d5!.^_|ZY=	該当	がいとう	条件や要件に当てはまる	
MpzWk|:N<p	偏る	かたよる	一方に寄って均等でない	
fsZt01=nl0	偏見	へんけん	根拠なく一方的に決めつける	
NUeq}BkN]^	暖炉	だんろ	室内で火を焚くための設備	
LZLb;vE:r_	横暴	おうぼう	勝手気ままに振る舞う	
b:a?^)c7=l	和やか	なごやか	穏やかで温かい雰囲気	
x7K$}bDLK[	欄	らん	書類の中の区分された枠	
t.^Dv~Q]my	沢	さわ	山間を流れる小さな流れ	
N~q(b^S/1z	後ろ盾	うしろだて	支えてくれる頼りになる存在	
cE9?7Vf;N;	姉弟	してい	姉と弟のきょうだい関係	
wM]+XcY$$o	船長	せんちょう	船舶の最高指揮者	
B;E32DB--[	奪還	だっかん	奪われたものを取り戻す	
Ohky=.Q-Kw	弧を描く	こをえがく	曲線を描くように動く	
hU/iL:[p8[	拙い	つたない	技術が未熟で下手な様子	
f;@Spw?F(A	綻ぶ	ほころぶ	縫い目がほどけて開く	
D@%l6505<3	刺客	しかく	暗殺を目的に送られた者	
"D.5mc#u_lc"	戦法	せんぽう	戦いや勝負での作戦	
QS|Y@=}@`5	零	れい	何もないことを示す数字	
"hC#YNkZ8/s"	筆	ふで	墨を含ませて字を書く道具	
Cz6Pax5{1%	著しい	いちじるしい	程度が非常に目立っている	
yYy<GO|bbZ	腫れる	はれる	炎症で皮膚が膨らむ	
"cpmz|E#>r&"	株	かぶ	会社の所有権を示す証券	
fRQl:~H7rf	敬う	うやまう	相手を尊んで大切にする	
DIFT,POT}&	失くす	なくす	持っていたものを無くす	
Aw;_*?4UN7	貝	かい	硬い殻を持つ海の生き物	
jyD,V-Z?kD	坊ちゃん	ぼっちゃん	裕福な家の男の子への呼称	
o_-dU[8Grh	お人好し	おひとよし	騙されやすい善良な人	
eXN:9.Q6vS	小突く	こづく	軽く突いてつつく	
COm>eGN8/7	躍る	おどる	嬉しさで体が弾む	
iUSI<3By+F	芋	いも	土の中で育つデンプン質の野菜	
"bk#mx~lv,3"	芝生	しばふ	地面を覆う短い草	
KK+vGdb@zI	半径	はんけい	円の中心から端までの長さ	
"H+KGpb`b#S"	神秘	しんぴ	不思議で計り知れない様子	
DY6Ts3<G?S	倣う	ならう	先例や習慣に従う	
b]_+w*eYlg	省く	はぶく	不要なものを除いて減らす	
"d3gbv*g#:}"	お腹が空く	おなかがすく	食事を欲する状態になる	
vX,Ltvx&s)	執行	しっこう	決定事項を実際に行う	
A?d=t8A;W7	空港	くうこう	飛行機が発着する施設	
P:2s?[,%)t	股	また	両脚の付け根の内側部分	
J_Z=Y]25l9	全うする	まっとうする	最後まで果たし遂げる	
P`sKM)c87X	外道	げどう	人としての道を外れた者	
"dp#pjQ)E,}"	直ちに	ただちに	ためらわず即刻	
"g#=85UJ}85"	狩人	かりゅうど	野生動物を追う職業	
uofVu+`szg	鼻血	はなぢ	鼻の穴から出る出血	
thEH.?5072	忌まわしい	いまわしい	思い出したくない不吉な感じ	
E)UYa%9u?$	生真面目	きまじめ	真面目すぎて堅苦しい様子	
bi/>hgF(9|	河	かわ	水が流れる細長い地形	
j^jSN|}2AW	筒	つつ	中が空の細長い円形の管	
IVgCKit~dm	擦りつける	なすりつける	責任や罪を他者に押し付ける	
2+;FVjpP.	育む	はぐくむ	愛情を注ぎ大切に育てる	
z<|(iTkU7t	籠もる	こもる	部屋にこもって出てこない	
"GM0>]#hgyw"	運搬	うんぱん	荷物を運び移動させる	
nM11kD7gPF	捕虜	ほりょ	戦争で捕らえた敵兵	
AtW|(3n2}4	神々しい	こうごうしい	神のような威厳がある様子	
oNTq[b=c}4	救済	きゅうさい	苦しむ者を助ける	
cOJ?=:V(]W	万歳	ばんざい	喜びの声を上げる掛け声	
w~}++xzh{Z	肝	きも	体内にある重要な臓器	
J(6RQSFRuU	手掛かり	てがかり	問題解決の足がかり	
c}|2s(`{_5	超越	ちょうえつ	通常の枠を超える	
i`~7.=.Xne	賜る	たまわる	目上の者から与えられる	
F$q(XPNe@U	鉄板	てっぱん	鉄でできた平たい板	
d0FjY}2pwH	老婆	ろうば	年老いた女性	
e{5_up6XC$	翻す	ひるがえす	ひらりと反対側に向ける	
"f/#{5*N)H."	隻	せき	船や片方を数える言葉	
"i%3F*h#?fQ"	式典	しきてん	公式に行われる儀式	
qaD~*=.lj(	絹	きぬ	蚕から取れる高級な繊維	
g_Yv0A+}l!	盛ん	さかん	勢いが良く活発な様子	
JEI=i{?U[f	伴侶	はんりょ	人生を共にする相手	
J>m5pfH>r[	卑劣	ひれつ	手段を選ばない卑怯な様子	
j{7``^XtaH	同居	どうきょ	同じ家に一緒に住む	
zQ<<9L@Fjl	崇める	あがめる	神のようにあがめ尊ぶ	
q$O?.e.5:s	頭を垂れる	こうべをたれる	敬意を表しうつむく仕草	
f*G4we:7Co	大樹	たいじゅ	大きく育った立派な木	
dX72hzH()V	侍	さむらい	武士と呼ばれた戦士階級	
iAk(8Hb^$_	映える	はえる	美しく際立って見える	
qtA4y1e?ab	肩越し	かたごし	肩の向こう側から	
t9Er&-%sOY	凍える	こごえる	極度の寒さで体が冷える	
FE~&Ig:pgU	欺く	あざむく	嘘をついて騙す	
MQ+BpXW>a:	印刷	いんさつ	紙に文字や絵を写し取る	
Arn%{/>sG4	木陰	こかげ	木の下の日陰の場所	
zDA$qu4EB,	梅	うめ	春先に咲く香りの良い花	
]t}.7?)6n	請け負う	うけおう	仕事を引き受ける	
MU*-}xa4J5	新品	しんぴん	まだ一度も使われていない	
l~qG?(7UbM	山積み	やまづみ	山のように積み重なる	
F08*qpJ2~>	淫ら	みだら	REVIEW_NEEDED	REVIEW_NEEDED: 性的な語。教材に適さない可能性
oA9DO|octy	灯	あかり	暗闇を照らす光り	
Ff28@ltXjV	郊外	こうがい	街の外れの地域	
y=!]WgTPRZ	一目瞭然	いちもくりょうぜん	一目見ればはっきり分かる	
"h<p#VPw.-("	酔っ払う	よっぱらう	酒に酔って正常でなくなる	
