Line	Word	Reading	NonJoyo	TargetTag
157	呆れる	あきれる	呆	move_non_joyo_to_2dan
176	濡れる	ぬれる	濡	move_non_joyo_to_2dan
186	喋る	しゃべる	喋	move_non_joyo_to_2dan
196	舐める	なめる	舐	move_non_joyo_to_2dan
202	睨む	にらむ	睨	move_non_joyo_to_2dan
204	溢れる	あふれる	溢	move_non_joyo_to_2dan
259	揃う	そろう	揃	move_non_joyo_to_2dan
279	繋がる	つながる	繋	move_non_joyo_to_2dan
322	覗く	のぞく	覗	move_non_joyo_to_2dan
361	怯える	おびえる	怯	move_non_joyo_to_2dan
390	騙す	だます	騙	move_non_joyo_to_2dan
430	槍	やり	槍	move_non_joyo_to_2dan
440	囁く	ささやく	囁	move_non_joyo_to_2dan
444	安堵	あんど	堵	move_non_joyo_to_2dan
480	呆然	ぼうぜん	呆	move_non_joyo_to_2dan
494	鎧	よろい	鎧	move_non_joyo_to_2dan
520	歪む	ゆがむ	歪	move_non_joyo_to_2dan
521	噛む	かむ	噛	move_non_joyo_to_2dan
552	罠	わな	罠	move_non_joyo_to_2dan
584	喧嘩	けんか	喧嘩	move_non_joyo_to_2dan
619	叶う	かなう	叶	move_non_joyo_to_2dan
654	狼	おおかみ	狼	move_non_joyo_to_2dan
668	辿り着く	たどりつく	辿	move_non_joyo_to_2dan
680	杖	つえ	杖	move_non_joyo_to_2dan
682	俯く	うつむく	俯	move_non_joyo_to_2dan
711	復讐	ふくしゅう	讐	move_non_joyo_to_2dan
728	訊く	きく	訊	move_non_joyo_to_2dan
751	纏う	まとう	纏	move_non_joyo_to_2dan
766	窺う	うかがう	窺	move_non_joyo_to_2dan
829	驚愕	きょうがく	愕	move_non_joyo_to_2dan
836	溜まる	たまる	溜	move_non_joyo_to_2dan
841	捧げる	ささげる	捧	move_non_joyo_to_2dan
888	滲む	にじむ	滲	move_non_joyo_to_2dan
899	晒す	さらす	晒	move_non_joyo_to_2dan
917	筈	はず	筈	move_non_joyo_to_2dan
