#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:9
mBtvJ=_Jm)	GRKD-Tegaki	GRKD-Tegaki::1段	呆れる	あきれる	[sound:呆れる あきれる.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
Eqeb*v0!x,	GRKD-Tegaki	GRKD-Tegaki::1段	濡れる	ぬれる	[sound:濡れる ぬれる.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
md6:d4Pcn3	GRKD-Tegaki	GRKD-Tegaki::1段	喋る	しゃべる	[sound:喋る しゃべる.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
G<k_gp:R35	GRKD-Tegaki	GRKD-Tegaki::1段	舐める	なめる	[sound:舐める なめる.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
wvz{{JoABe	GRKD-Tegaki	GRKD-Tegaki::1段	睨む	にらむ	[sound:睨む にらむ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
yIWKK`foXu	GRKD-Tegaki	GRKD-Tegaki::1段	溢れる	あふれる	[sound:溢れる あふれる.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
lJiU^yd6uK	GRKD-Tegaki	GRKD-Tegaki::1段	揃う	そろう	[sound:揃う そろう.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
kexu&Jf6cJ	GRKD-Tegaki	GRKD-Tegaki::1段	繋がる	つながる	[sound:繋がる つながる.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
x{&&FWm%*r	GRKD-Tegaki	GRKD-Tegaki::1段	覗く	のぞく	[sound:覗く のぞく.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
"PK#w%,>2`N"	GRKD-Tegaki	GRKD-Tegaki::1段	怯える	おびえる	[sound:怯える おびえる.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
G5t]U1f8Mm	GRKD-Tegaki	GRKD-Tegaki::1段	騙す	だます	[sound:騙す だます.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
CGVp~J.tI!	GRKD-Tegaki	GRKD-Tegaki::1段	槍	やり	[sound:槍 やり.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
t.5Ch3.9u+	GRKD-Tegaki	GRKD-Tegaki::1段	囁く	ささやく	[sound:囁く ささやく.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
xUoJRW)xb!	GRKD-Tegaki	GRKD-Tegaki::1段	安堵	あんど	[sound:安堵 あんど.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
jKxH^k~@Rh	GRKD-Tegaki	GRKD-Tegaki::1段	呆然	ぼうぜん	[sound:呆然 ぼうぜん.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
Nkn)wuL?v6	GRKD-Tegaki	GRKD-Tegaki::1段	鎧	よろい	[sound:鎧 よろい.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
HB%m@DGcT_	GRKD-Tegaki	GRKD-Tegaki::1段	歪む	ゆがむ	[sound:歪む ゆがむ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
BhxG**UYv>	GRKD-Tegaki	GRKD-Tegaki::1段	噛む	かむ	[sound:噛む かむ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
P=8bK6rqlD	GRKD-Tegaki	GRKD-Tegaki::1段	罠	わな	[sound:罠 わな.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
rH6t)X.c^b	GRKD-Tegaki	GRKD-Tegaki::1段	喧嘩	けんか	[sound:喧嘩 けんか.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
FS;tsAr3u)	GRKD-Tegaki	GRKD-Tegaki::1段	叶う	かなう	[sound:叶う かなう.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
NF`~1>/^nF	GRKD-Tegaki	GRKD-Tegaki::1段	狼	おおかみ	[sound:狼 おおかみ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
D@/W<SOeX2	GRKD-Tegaki	GRKD-Tegaki::1段	辿り着く	たどりつく	[sound:辿り着く たどりつく.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
s6v/U-V.Rg	GRKD-Tegaki	GRKD-Tegaki::1段	杖	つえ	[sound:杖 つえ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
ey%.s(HHJX	GRKD-Tegaki	GRKD-Tegaki::1段	俯く	うつむく	[sound:俯く うつむく.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
nH(q(1!n3C	GRKD-Tegaki	GRKD-Tegaki::1段	復讐	ふくしゅう	[sound:復讐 ふくしゅう.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
BuSCh/;WTt	GRKD-Tegaki	GRKD-Tegaki::1段	訊く	きく	[sound:訊く きく.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
-eOGbtR6g	GRKD-Tegaki	GRKD-Tegaki::1段	纏う	まとう	[sound:纏う まとう.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
jXh$c-,/,B	GRKD-Tegaki	GRKD-Tegaki::1段	窺う	うかがう	[sound:窺う うかがう.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
"cB;=#Z(pK("	GRKD-Tegaki	GRKD-Tegaki::1段	驚愕	きょうがく	[sound:驚愕 きょうがく.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
z~z._!ac1Z	GRKD-Tegaki	GRKD-Tegaki::1段	溜まる	たまる	[sound:溜まる たまる.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
"E~g[FQn3#P"	GRKD-Tegaki	GRKD-Tegaki::1段	捧げる	ささげる	[sound:捧げる ささげる.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
"w##=lyowQq"	GRKD-Tegaki	GRKD-Tegaki::1段	滲む	にじむ	[sound:滲む にじむ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
Cn2qqOetAX	GRKD-Tegaki	GRKD-Tegaki::1段	晒す	さらす	[sound:晒す さらす.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
"E#vO!{]`Hc"	GRKD-Tegaki	GRKD-Tegaki::1段	筈	はず	[sound:筈 はず.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
Pp;hHYuw-<	GRKD-Tegaki	GRKD-Tegaki::1段	這う	はう	[sound:這う はう.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
