E}GG|*t8}U	麗しい	うるわしい
q,wuoiOD[b	お供	おとも
lmb{`h;H8:	損ねる	そこねる
clmh<6,@,6	古	いにしえ
Mzr*5L-2q3	乏しい	とぼしい
v5PL_b{KTx	現役	げんえき
v07E:7cLJr	宮廷	きゅうてい
"A#K7]U|%!k"	蓄積	ちくせき
I{fv,g:P>0	貧しい	まずしい
"e#wd4DXQSD"	焦げる	こげる
l;JV`eQ0dK	委ねる	ゆだねる
u0TykquLo1	目玉	めだま
bK=Bb=Pz+O	私服	しふく
gLHU60S4Pr	を回って	をめぐって
"lC|#|#qjl3"	正真正銘	しょうしんしょうめい
n~g&?y</l^	逝く	いく
cU4S@69W9[	花弁	はなびら
my5E[FoBbN	客観的	きゃっかんてき
H`S[+_J~^D	吉	きち
IJ?{u78*~@	三階	さんがい
i0xzCS_%J:	絵を描く	えをかく
r)GT@WT02S	敢えて	あえて
to)[0*y3n5	創る	つくる
n=0>=m+gwy	毛皮	けがわ
J1v+mG&q%$	建設	けんせつ
vdXlsxR:>B	民衆	みんしゅう
CVUs^E>t**	三本	さんぼん
L57b^u-1=f	長ける	たける
Q2M~q2{$6K	悲惨	ひさん
L4V,~2Dm>Z	懲りる	こりる
M+sWYI!lQt	開閉	かいへい
Ku$bc9z+HP	書斎	しょさい
"q#D;&&roc}"	某	ぼう
ovIL>m+K`+	猶予	ゆうよ
E:?86ccg[5	拝見	はいけん
AIn!P4U6r`	洋服	ようふく
r;z8z/T+N@	片っ端から	かたっぱしから
LlPe>T@ASh	人混み	ひとごみ
rVdFiOsKhz	大臣	だいじん
A5g*GN?hp{	鈍感	どんかん
k4do[UHgpl	謙遜	けんそん
s!b2K}($U,	偽装	ぎそう
mqxl5=(^cg	給仕	きゅうじ
wRn3W{$cdr	採る	とる
d2-ZvKu??U	雄叫び	おたけび
"cf|/ZV8#(F"	粒子	りゅうし
wg{dDJm7*C	喚く	わめく
h,[hAJ[B5y	尚	なお
ut<2OJKZNZ	失踪	しっそう
xw!cw}/A0|	刀身	とうしん
gcj/Titbh8	原稿	げんこう
"Q+3[)n#t~H"	沿い	ぞい
L9!t(-w]E)	弾き飛ばす	はじきとばす
y34f<)^@^G	州	しゅう
G_~`s<qnZM	木製	もくせい
PCN:SY_igx	鉱山	こうざん
x]:;&Rs_s@	演説	えんぜつ
ugf%Z3JmJg	丈	たけ
F,?!An9a~n	悪気	わるぎ
n@6V6jVKkA	痕	あと
"PJq#Y)H,Pt"	因縁	いんねん
B;2Rg3I2O[	編む	あむ
LljEA>Ppp$	連なる	つらなる
P(I:Hf2K6l	遡る	さかのぼる
LzALBcf2G/	富	とみ
v99.Dj/;*^	憂い	うれい
Fh>w]P;X|$	舞踏会	ぶとうかい
jlcjFH_wxi	割く	さく
IB{-</_M%(	留学	りゅうがく
gu`t_!w*Hm	苛む	さいなむ
bi+G->iVVw	手綱	たづな
Ba/m*_uTQ9	石畳	いしだたみ
n]@bU6:}Yi	塀	へい
eH9+Mu9Yu@	娯楽	ごらく
f~H*WE8!3m	堕ちる	おちる
gVp/<=P~8h	邪	よこしま
mzQOriNDZb	圧迫	あっぱく
EKZQ^*u23L	乾燥	かんそう
Ia22MrwiTV	悪党	あくとう
d{El9S<8VH	競う	きそう
L,D2Y7)5$@	掲示板	けいじばん
rH7n8Ejrcm	禁忌	きんき
h[+-6C8Y%^	就く	つく
lx)r,uTJ0v	米	こめ
N<IBgM~-&Y	推す	おす
mH-C&:rC_+	剥がす	はがす
Ok5cw5f1Je	井戸	いど
jLl@e&*]i&	漁る	あさる
D]5cWjH`-)	遂行	すいこう
p5FTH{Y`U0	簡潔	かんけつ
e8.Wb%aJ0Z	克服	こくふく
POV2m(4Fff	電源	でんげん
tE[p>2NIff	競争	きょうそう
B_|)^)~`y6	満喫	まんきつ
tRuP;kWwb-	節	ふし
uEY(zP;.>^	殺る	やる
fbpyu9=gsj	赤面	せきめん
tZ<T&6h-ND	挙句	あげく
iz-c|I|Ha1	同胞	どうほう
P+DKu!3Yno	精鋭	せいえい
w?*n0c*A&w	遂に	ついに
DoE72S.5LX	苦悩	くのう
qC;NNmEpbr	巻	かん
b5^7_=sS&L	殿方	とのがた
soDEG4|=LK	酸素	さんそ
H1k5LyJb)H	最奥	さいおう
J4:oJWO?x6	目尻	めじり
l|eY24f&7`	白髪	しらが
iZ8=7k_d^A	幼女	ようじょ
Ahc`D<&^d=	八つ当たり	やつあたり
HhpD<D<?v;	迅速	じんそく
va&Dr<g<>E	世間話	せけんばなし
"ON#QQfZUI-"	裁く	さばく
"hcy8!1=em#"	二十歳	はたち
e};t8FZ_6u	禍々しい	まがまがしい
MuM=fM3gTk	清潔	せいけつ
ARP4D0lW8%	気圧される	けおされる
dYLwKRiq%k	合宿	がっしゅく
z*t=VX<G)k	数多	あまた
AVIsP|}r!.	永久	えいきゅう
ek(+qxeCow	射る	いる
JON)=i(Vpr	隔離	かくり
c=R$hgIbe;	葬る	ほうむる
"M#B-e%?>}N"	畳む	たたむ
d$KF@cUd-1	辛うじて	かろうじて
f%*+o6UJxD	畜生	ちくしょう
r9*)F3cy;T	活気	かっき
OctMaFGg>:	糧	かて
xZH6+<]DEk	蔑む	さげすむ
A;C/-UmmgZ	蓄える	たくわえる
P/O)|7B+>h	一月	いちがつ
n7]<;N4+mx	沸騰	ふっとう
CkG(H|^-/T	捕縛	ほばく
pfJAD>iTT9	物語る	ものがたる
wzWH*5?KGd	忍者	にんじゃ
t-.VCda@rA	疎い	うとい
rbCVx(_9IN	臨時	りんじ
l4IC~}-fV]	笛	ふえ
OaYk.R`nyu	闘う	たたかう
"in=#BPH0K!"	詩	し
qHcbWMmWvh	和らぐ	やわらぐ
"fsW-I[#Zo{"	垣間見る	かいまみる
rM:RC@AxBn	桃	もも
xvgbG{p5lK	勃起	ぼっき
Ja5?DTtCI|	滅茶苦茶	めちゃくちゃ
K:H^`_relC	手帳	てちょう
w+ag`3z7/O	疲弊	ひへい
"D~s<.4##wU"	世紀	せいき
d0m63opb]k	危惧	きぐ
ljnlyC6oCi	真に	まことに
kgRcg)1O-v	臭	しゅう
"g#Pokc>WnX"	砂浜	すなはま
DL0O$&9.MQ	湯船	ゆぶね
j>6;H(a`3{	剥き出し	むきだし
r^{0$nJ!jR	染み	しみ
"vR.dMyW##F"	今日中に	きょうじゅうに
l@]yyE}UrS	独り占め	ひとりじめ
uQZy/w*{mc	賞	しょう
qU^?U29p*>	五つ	いつつ
J^r>+2%FKr	増加	ぞうか
QVfCZHT}zL	後々	のちのち
k;nGGkT|Zm	養う	やしなう
E-6n59B5Qb	選挙	せんきょ
F]5KpC_<??	侵す	おかす
ryNOQ|?HI^	続行	ぞっこう
mM+rP`^Vz&	貯める	ためる
em1jOFi4AC	寝床	ねどこ
pvwyfKJM|h	彼等	かれら
