"Index","Guid","Word","Reading","Tags"
"1800","E}GG|*t8}U","麗しい","うるわしい",""
"1801","q,wuoiOD[b","お供","おとも",""
"1802","lmb{`h;H8:","損ねる","そこねる",""
"1803","clmh<6,@,6","古","いにしえ",""
"1804","Mzr*5L-2q3","乏しい","とぼしい",""
"1805","v5PL_b{KTx","現役","げんえき",""
"1806","v07E:7cLJr","宮廷","きゅうてい",""
"1807","""A#K7]U|%!k""","蓄積","ちくせき",""
"1808","I{fv,g:P>0","貧しい","まずしい",""
"1809","""e#wd4DXQSD""","焦げる","こげる",""
"1810","l;JV`eQ0dK","委ねる","ゆだねる",""
"1811","u0TykquLo1","目玉","めだま",""
"1812","bK=Bb=Pz+O","私服","しふく",""
"1813","gLHU60S4Pr","を回って","をめぐって",""
"1814","""lC|#|#qjl3""","正真正銘","しょうしんしょうめい",""
"1815","n~g&?y</l^","逝く","いく",""
"1816","cU4S@69W9[","花弁","はなびら",""
"1817","my5E[FoBbN","客観的","きゃっかんてき",""
"1818","H`S[+_J~^D","吉","きち",""
"1819","IJ?{u78*~@","三階","さんがい",""
"1820","i0xzCS_%J:","絵を描く","えをかく",""
"1821","r)GT@WT02S","敢えて","あえて",""
"1822","to)[0*y3n5","創る","つくる",""
"1823","n=0>=m+gwy","毛皮","けがわ",""
"1824","J1v+mG&q%$","建設","けんせつ",""
"1825","vdXlsxR:>B","民衆","みんしゅう",""
"1826","CVUs^E>t**","三本","さんぼん",""
"1827","L57b^u-1=f","長ける","たける",""
"1828","Q2M~q2{$6K","悲惨","ひさん",""
"1829","L4V,~2Dm>Z","懲りる","こりる",""
"1830","M+sWYI!lQt","開閉","かいへい",""
"1831","Ku$bc9z+HP","書斎","しょさい",""
"1832","""q#D;&&roc}""","某","ぼう",""
"1833","ovIL>m+K`+","猶予","ゆうよ",""
"1834","E:?86ccg[5","拝見","はいけん",""
"1835","AIn!P4U6r`","洋服","ようふく",""
"1836","r;z8z/T+N@","片っ端から","かたっぱしから",""
"1837","LlPe>T@ASh","人混み","ひとごみ",""
"1838","rVdFiOsKhz","大臣","だいじん",""
"1839","A5g*GN?hp{","鈍感","どんかん",""
"1840","k4do[UHgpl","謙遜","けんそん",""
"1841","s!b2K}($U,","偽装","ぎそう",""
"1842","mqxl5=(^cg","給仕","きゅうじ",""
"1843","wRn3W{$cdr","採る","とる",""
"1844","d2-ZvKu??U","雄叫び","おたけび",""
"1845","""cf|/ZV8#(F""","粒子","りゅうし",""
"1846","wg{dDJm7*C","喚く","わめく",""
"1847","h,[hAJ[B5y","尚","なお",""
"1848","ut<2OJKZNZ","失踪","しっそう",""
"1849","xw!cw}/A0|","刀身","とうしん",""
"1850","gcj/Titbh8","原稿","げんこう",""
"1851","""Q+3[)n#t~H""","沿い","ぞい",""
"1852","L9!t(-w]E)","弾き飛ばす","はじきとばす",""
"1853","y34f<)^@^G","州","しゅう",""
"1854","G_~`s<qnZM","木製","もくせい",""
"1855","PCN:SY_igx","鉱山","こうざん",""
"1856","x]:;&Rs_s@","演説","えんぜつ",""
"1857","ugf%Z3JmJg","丈","たけ",""
"1858","F,?!An9a~n","悪気","わるぎ",""
"1859","n@6V6jVKkA","痕","あと",""
"1860","""PJq#Y)H,Pt""","因縁","いんねん",""
"1861","B;2Rg3I2O[","編む","あむ",""
"1862","LljEA>Ppp$","連なる","つらなる",""
"1863","P(I:Hf2K6l","遡る","さかのぼる",""
"1864","LzALBcf2G/","富","とみ",""
"1865","v99.Dj/;*^","憂い","うれい",""
"1866","Fh>w]P;X|$","舞踏会","ぶとうかい",""
"1867","jlcjFH_wxi","割く","さく",""
"1868","IB{-</_M%(","留学","りゅうがく",""
"1869","gu`t_!w*Hm","苛む","さいなむ",""
"1870","bi+G->iVVw","手綱","たづな",""
"1871","Ba/m*_uTQ9","石畳","いしだたみ",""
"1872","n]@bU6:}Yi","塀","へい",""
"1873","eH9+Mu9Yu@","娯楽","ごらく",""
"1874","f~H*WE8!3m","堕ちる","おちる",""
"1875","gVp/<=P~8h","邪","よこしま",""
"1876","mzQOriNDZb","圧迫","あっぱく",""
"1877","EKZQ^*u23L","乾燥","かんそう",""
"1878","Ia22MrwiTV","悪党","あくとう",""
"1879","d{El9S<8VH","競う","きそう",""
"1880","L,D2Y7)5$@","掲示板","けいじばん",""
"1881","rH7n8Ejrcm","禁忌","きんき",""
"1882","h[+-6C8Y%^","就く","つく",""
"1883","lx)r,uTJ0v","米","こめ",""
"1884","N<IBgM~-&Y","推す","おす",""
"1885","mH-C&:rC_+","剥がす","はがす",""
"1886","Ok5cw5f1Je","井戸","いど",""
"1887","jLl@e&*]i&","漁る","あさる",""
"1888","D]5cWjH`-)","遂行","すいこう",""
"1889","p5FTH{Y`U0","簡潔","かんけつ",""
"1890","e8.Wb%aJ0Z","克服","こくふく",""
"1891","POV2m(4Fff","電源","でんげん",""
"1892","tE[p>2NIff","競争","きょうそう",""
"1893","B_|)^)~`y6","満喫","まんきつ",""
"1894","tRuP;kWwb-","節","ふし",""
"1895","uEY(zP;.>^","殺る","やる",""
"1896","fbpyu9=gsj","赤面","せきめん",""
"1897","tZ<T&6h-ND","挙句","あげく",""
"1898","iz-c|I|Ha1","同胞","どうほう",""
"1899","P+DKu!3Yno","精鋭","せいえい",""
"1900","w?*n0c*A&w","遂に","ついに",""
"1901","DoE72S.5LX","苦悩","くのう",""
"1902","qC;NNmEpbr","巻","かん",""
"1903","b5^7_=sS&L","殿方","とのがた",""
"1904","soDEG4|=LK","酸素","さんそ",""
"1905","H1k5LyJb)H","最奥","さいおう",""
"1906","J4:oJWO?x6","目尻","めじり",""
"1907","l|eY24f&7`","白髪","しらが",""
"1908","iZ8=7k_d^A","幼女","ようじょ",""
"1909","Ahc`D<&^d=","八つ当たり","やつあたり",""
"1910","HhpD<D<?v;","迅速","じんそく",""
"1911","va&Dr<g<>E","世間話","せけんばなし",""
"1912","""ON#QQfZUI-""","裁く","さばく",""
"1913","""hcy8!1=em#""","二十歳","はたち",""
"1914","e};t8FZ_6u","禍々しい","まがまがしい",""
"1915","MuM=fM3gTk","清潔","せいけつ",""
"1916","ARP4D0lW8%","気圧される","けおされる",""
"1917","dYLwKRiq%k","合宿","がっしゅく",""
"1918","z*t=VX<G)k","数多","あまた",""
"1919","AVIsP|}r!.","永久","えいきゅう",""
"1920","ek(+qxeCow","射る","いる",""
"1921","JON)=i(Vpr","隔離","かくり",""
"1922","c=R$hgIbe;","葬る","ほうむる",""
"1923","""M#B-e%?>}N""","畳む","たたむ",""
"1924","d$KF@cUd-1","辛うじて","かろうじて",""
"1925","f%*+o6UJxD","畜生","ちくしょう",""
"1926","r9*)F3cy;T","活気","かっき",""
"1927","OctMaFGg>:","糧","かて",""
"1928","xZH6+<]DEk","蔑む","さげすむ",""
"1929","A;C/-UmmgZ","蓄える","たくわえる",""
"1930","P/O)|7B+>h","一月","いちがつ",""
"1931","n7]<;N4+mx","沸騰","ふっとう",""
"1932","CkG(H|^-/T","捕縛","ほばく",""
