#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:9
GkvR{2tZdc	GRKD-Tegaki	GRKD-Tegaki::1段	運命	うんめい	[sound:運命 うんめい.mp3]	人生を左右する大きな流れ	79c784cb-5a03-11f1-b2b2-00155d6b7ff9	
BCx~5B8U~B	GRKD-Tegaki	GRKD-Tegaki::1段	術	じゅつ	[sound:術 じゅつ.mp3]	特別な技能や秘伝の方法		
bz71JQE,o*	GRKD-Tegaki	GRKD-Tegaki::1段	案内	あんない	[sound:案内 あんない.mp3]	場所や道を教えること		
kbPZiEHh-*	GRKD-Tegaki	GRKD-Tegaki::1段	努力	どりょく	[sound:努力 どりょく.mp3]	目標のために頑張ること		
Dm:$tvd{!Z	GRKD-Tegaki	GRKD-Tegaki::1段	心臓	しんぞう	[sound:心臓 しんぞう.mp3]	胸の中で血液を送る器官		
h9/<t.lgSd	GRKD-Tegaki	GRKD-Tegaki::1段	荷物	にもつ	[sound:荷物 にもつ.mp3]	旅行の時に持つ重い物		
"fmoNS#3~AI"	GRKD-Tegaki	GRKD-Tegaki::1段	伸びる	のびる	[sound:伸びる のびる.mp3]	草木が長く大きく育つ様子		
zo.0zxTMmN	GRKD-Tegaki	GRKD-Tegaki::1段	両親	りょうしん	[sound:両親 りょうしん.mp3]	自分を産んでくれた二人		
DX$g=^u?FV	GRKD-Tegaki	GRKD-Tegaki::1段	量	りょう	[sound:量 りょう.mp3]	多いか少ないかを示す概念		
A8nxT7ezqy	GRKD-Tegaki	GRKD-Tegaki::1段	払う	はらう	[sound:払う はらう.mp3]	代金としてお金を渡す行為		
L/Z{Ap/I>F	GRKD-Tegaki	GRKD-Tegaki::1段	辺り	あたり	[sound:辺り あたり.mp3]	ある場所のその付近一帯		
lbn>0pBLS8	GRKD-Tegaki	GRKD-Tegaki::1段	開始	かいし	[sound:開始 かいし.mp3]	物事を新しくはじめること		
tp1NCj_b5l	GRKD-Tegaki	GRKD-Tegaki::1段	解放	かいほう	[sound:解放 かいほう.mp3]	束縛から自由にすること		
J~R!?vK*Wg	GRKD-Tegaki	GRKD-Tegaki::1段	獣	けもの	[sound:獣 けもの.mp3]	森の中に住む野生の生き物		
FU9Gn&|/*&	GRKD-Tegaki	GRKD-Tegaki::1段	建物	たてもの	[sound:建物 たてもの.mp3]	人が中で活動するための構造体		
lc@0h7aLo$	GRKD-Tegaki	GRKD-Tegaki::1段	扱い	あつかい	[sound:扱い あつかい.mp3]	人や物に対する対応の仕方		
H2MHt&_kMK	GRKD-Tegaki	GRKD-Tegaki::1段	系	けい	[sound:系 けい.mp3]	同じ特徴を持つグループ		
B2F,^%hQx5	GRKD-Tegaki	GRKD-Tegaki::1段	口調	くちょう	[sound:口調 くちょう.mp3]	相手に対する話し方の調子	80c998f4-5a03-11f1-aef1-00155d6b7ff9	
Q/uZH><U!P	GRKD-Tegaki	GRKD-Tegaki::1段	真面目	まじめ	[sound:真面目 まじめ.mp3]	遊び心がなく誠実な態度		
DnZ[=k-C`L	GRKD-Tegaki	GRKD-Tegaki::1段	更に	さらに	[sound:更に さらに.mp3]	その上追加で程度が進む		
CCBP]v<J%j	GRKD-Tegaki	GRKD-Tegaki::1段	影響	えいきょう	[sound:影響 えいきょう.mp3]	他に及ぼす作用や効果		
uo9[Jcs1/m	GRKD-Tegaki	GRKD-Tegaki::1段	真っ赤	まっか	[sound:真っ赤 まっか.mp3]	血のように鮮やかな色合い		
z)&QREo[2C	GRKD-Tegaki	GRKD-Tegaki::1段	発見	はっけん	[sound:発見 はっけん.mp3]	今まで知られていなかったものをみつける		
E$Lx=9|+Bl	GRKD-Tegaki	GRKD-Tegaki::1段	支える	ささえる	[sound:支える ささえる.mp3]	倒れないように下から保つ		
